station,valid,tmpc,relh,sped,p01m
JRB,2023-01-01 00:05,,,0.00,0.00
JRB,2023-01-01 00:17,,,6.90,T
JRB,2023-01-01 00:20,,,5.75,T
JRB,2023-01-01 00:27,,,5.75,0.25
JRB,2023-01-01 00:32,,,4.60,0.25
JRB,2023-01-01 00:46,,,3.45,0.51
JRB,2023-01-01 00:56,,,3.45,0.51
JRB,2023-01-01 01:05,,,5.75,0.25
JRB,2023-01-01 01:12,,,5.75,0.25
JRB,2023-01-01 01:45,,,4.60,0.76
JRB,2023-01-01 01:49,,,3.45,0.76
JRB,2023-01-01 01:56,,,4.60,1.02
JRB,2023-01-01 02:12,,,3.45,0.76
JRB,2023-01-01 02:15,,,5.75,0.76
JRB,2023-01-01 02:23,,,8.05,1.02
JRB,2023-01-01 02:56,,,6.90,2.29
JRB,2023-01-01 03:19,,,5.75,0.51
JRB,2023-01-01 03:24,,,5.75,0.51
JRB,2023-01-01 03:34,,,4.60,0.76
JRB,2023-01-01 03:41,,,3.45,0.76
JRB,2023-01-01 03:52,,,6.90,0.76
JRB,2023-01-01 03:56,,,6.90,0.76
JRB,2023-01-01 04:16,,,8.05,0.00
JRB,2023-01-01 04:37,,,5.75,0.00
JRB,2023-01-01 04:39,,,5.75,0.00
JRB,2023-01-01 04:56,,,4.60,0.00
JRB,2023-01-01 05:07,,,3.45,0.00
JRB,2023-01-01 05:18,,,3.45,0.00
JRB,2023-01-01 05:21,,,4.60,0.00
JRB,2023-01-01 05:28,,,6.90,0.00
JRB,2023-01-01 05:49,,,6.90,0.00
JRB,2023-01-01 05:56,,,6.90,T
JRB,2023-01-01 06:29,,,6.90,T
JRB,2023-01-01 06:33,,,5.75,T
JRB,2023-01-01 06:40,,,8.05,T
JRB,2023-01-01 06:56,,,6.90,T
JRB,2023-01-01 06:58,,,6.90,0.00
JRB,2023-01-01 07:01,,,6.90,0.00
JRB,2023-01-01 07:09,,,6.90,0.00
JRB,2023-01-01 07:15,,,6.90,0.00
JRB,2023-01-01 07:27,,,6.90,0.00
JRB,2023-01-01 07:31,,,6.90,0.00
JRB,2023-01-01 07:56,,,6.90,0.00
JRB,2023-01-01 08:15,,,6.90,0.00
JRB,2023-01-01 08:24,,,6.90,0.00
JRB,2023-01-01 08:35,,,8.05,0.00
JRB,2023-01-01 08:56,,,8.05,0.00
JRB,2023-01-01 09:08,,,8.05,0.00
JRB,2023-01-01 09:23,,,9.20,0.00
JRB,2023-01-01 09:25,,,9.20,0.00
JRB,2023-01-01 09:35,,,8.05,0.00
JRB,2023-01-01 09:51,,,9.20,0.00
JRB,2023-01-01 09:56,,,8.05,0.00
JRB,2023-01-01 10:06,,,6.90,0.00
JRB,2023-01-01 10:20,,,5.75,0.00
JRB,2023-01-01 10:24,,,5.75,0.00
