station,valid,tmpc,relh,sped,p01m
NYC,2023-01-01 00:06,10.00,92.80,0.00,T
NYC,2023-01-01 00:18,10.00,95.98,3.45,T
NYC,2023-01-01 00:31,10.00,92.80,0.00,0.25
NYC,2023-01-01 00:44,10.00,95.98,0.00,0.51
NYC,2023-01-01 00:49,10.00,93.50,0.00,0.51
NYC,2023-01-01 00:51,10.00,95.98,0.00,0.51
NYC,2023-01-01 01:19,10.56,92.14,0.00,0.51
NYC,2023-01-01 01:27,11.67,92.89,3.45,0.51
NYC,2023-01-01 01:51,12.78,93.29,6.90,1.02
NYC,2023-01-01 02:49,12.00,100.00,5.75,2.54
NYC,2023-01-01 02:51,12.22,96.76,0.00,2.79
NYC,2023-01-01 03:01,12.22,96.76,5.75,0.51
NYC,2023-01-01 03:35,12.78,93.29,5.75,1.02
NYC,2023-01-01 03:51,12.78,89.59,5.75,1.02
NYC,2023-01-01 04:05,12.22,96.76,0.00,T
NYC,2023-01-01 04:34,12.22,92.92,8.05,T
NYC,2023-01-01 04:51,12.22,92.92,0.00,0.25
NYC,2023-01-01 05:20,12.22,89.88,0.00,T
NYC,2023-01-01 05:36,12.22,92.92,6.90,T
NYC,2023-01-01 05:49,12.00,93.60,4.60,T
NYC,2023-01-01 05:51,11.67,92.89,5.75,T
NYC,2023-01-01 06:51,11.67,89.18,8.05,T
NYC,2023-01-01 07:51,11.11,92.86,5.75,0.00
NYC,2023-01-01 08:51,11.67,85.59,9.20,0.00
NYC,2023-01-01 09:51,11.11,86.17,4.60,0.00
NYC,2023-01-01 10:51,10.56,89.09,3.45,0.00
NYC,2023-01-01 11:51,10.56,82.62,4.60,0.00
NYC,2023-01-01 12:51,10.00,80.06,5.75,0.00
NYC,2023-01-01 13:51,10.00,74.15,6.90,0.00
NYC,2023-01-01 14:51,11.11,63.24,6.90,0.00
NYC,2023-01-01 15:51,11.67,56.17,5.75,0.00
NYC,2023-01-01 16:51,11.11,56.45,8.05,0.00
NYC,2023-01-01 17:51,11.67,54.21,10.35,0.00
NYC,2023-01-01 18:51,12.22,48.65,5.75,0.00
NYC,2023-01-01 19:51,11.67,44.42,6.90,0.00
NYC,2023-01-01 20:51,11.67,42.48,4.60,0.00
NYC,2023-01-01 21:51,11.67,42.81,3.45,0.00
NYC,2023-01-01 22:51,10.56,45.73,0.00,0.00
NYC,2023-01-01 23:51,10.00,47.64,3.45,0.00
NYC,2023-01-02 00:51,10.56,51.81,3.45,0.00
NYC,2023-01-02 01:51,10.56,51.81,0.00,0.00
NYC,2023-01-02 02:51,10.56,52.00,0.00,0.00
NYC,2023-01-02 03:51,10.56,54.13,4.60,0.00
NYC,2023-01-02 04:51,10.00,56.39,0.00,0.00
NYC,2023-01-02 05:51,10.00,56.39,0.00,0.00
NYC,2023-01-02 06:51,10.56,56.10,3.45,0.00
NYC,2023-01-02 07:51,10.00,58.44,3.45,0.00
NYC,2023-01-02 08:51,10.00,60.79,0.00,0.00
NYC,2023-01-02 09:51,10.00,62.98,4.60,0.00
NYC,2023-01-02 10:51,10.00,62.98,4.60,0.00
NYC,2023-01-02 11:51,10.00,62.98,5.75,0.00
NYC,2023-01-02 12:51,9.44,68.51,4.60,0.00
NYC,2023-01-02 13:51,6.11,92.58,407.10,0.00
NYC,2023-01-02 14:51,10.00,62.98,4.60,0.00
NYC,2023-01-02 15:51,10.56,63.12,3.45,0.00
NYC,2023-01-02 16:51,11.67,58.64,3.45,0.00
NYC,2023-01-02 17:51,12.78,54.70,4.60,0.00
NYC,2023-01-02 18:51,13.33,54.83,4.60,0.00
NYC,2023-01-02 19:51,13.33,54.83,6.90,0.00
NYC,2023-01-02 20:51,13.33,57.23,5.75,0.00
NYC,2023-01-02 21:51,12.78,61.69,6.90,0.00
NYC,2023-01-02 22:51,12.78,63.86,3.45,0.00
NYC,2023-01-02 23:51,13.33,64.47,4.60,0.00
NYC,2023-01-03 00:51,12.78,66.61,0.00,0.00
NYC,2023-01-03 01:51,12.78,68.93,4.60,0.00
